gene_claim_name	gene_name	entrez_id	gene_claim_source
RFPL4B	RFPL4B	442247	PharmGKB
ENSG00000232159	RAB9BP1	9366	Ensembl
ENSG00000182308	DCAF4L1	285429	Ensembl
ENSG00000269938			Ensembl
NFKBIA	NFKBIA	4792	GO
ENSG00000176753	C15ORF56	644809	Ensembl
Histone deacetylase 1	HDAC1	3065	TTD
Angiopoietin 1 receptor	TEK	7010	TTD
ENSG00000185800	DMWD	1762	Ensembl
ENSG00000164363	SLC6A18	348932	HingoraniCasas
MUTYH	MUTYH	4595	PharmGKB
ZBTB16	ZBTB16	7704	Pharos
A0A0G2JNH3			GO
PEBP1	PEBP1	5037	Pharos
ENSG00000110719	TCIRG1	10312	Ensembl
ENSG00000270159			Ensembl
BE0000483	CACNA1G	8913	DrugBank
ENSG00000224188	UBE2D3P4	100131800	Ensembl
ENSG00000251880	RNU7-75P	100151672	Ensembl
ENSG00000287562			Ensembl
NDUFB1	NDUFB1	4707	Pharos
ENSG00000177489	OR2G2	81470	RussLampel
ENSG00000121743	GJA3	2700	Ensembl
ENSG00000156873	PHKG2	5261	Ensembl
THEM4	THEM4	117145	Pharos
ENSG00000179136	LINC00670	284034	Ensembl
ENSG00000170917	NUDT6	11162	Ensembl
ENSG00000287033			Ensembl
NEK11	NEK11	79858	GO
ENSG00000259077			Ensembl
SLC6A8	SLC6A8	6535	Pharos
ENSG00000171209	CSN3	1448	Ensembl
ENSG00000140682	TGFB1I1	7041	Ensembl
ENSG00000226028	PFN1P12	647569	Ensembl
ENSG00000251149	MTND5P5	100873201	Ensembl
ENSG00000267387			Ensembl
ENSG00000242209			Ensembl
ENSG00000261675			Ensembl
CCL28	CCL28	56477	NCI
GNRHR	GNRHR	2798	dGene
824	CAPN2	824	GuideToPharmacology
ENSG00000282850	RHOXF1P2	107075106	Ensembl
ENSG00000130600	H19	283120	Ensembl
SLC38A9	SLC38A9	153129	Pharos
GATA6	GATA6	2627	GO
ENSG00000274824	MIR7152	102465689	Ensembl
ENSG00000213559	HNRNPA1P64	100129325	Ensembl
ENSG00000143742	SRP9	6726	Ensembl
ENSG00000274607	RNU6-866P	106481454	Ensembl
BE0009502	NUAK1	9891	DrugBank
ENSG00000090863	GLG1	2734	Ensembl
ENSG00000269113	TRABD2B	388630	Ensembl
ENSG00000232138	IFNWP5	392292	Ensembl
ACVR2B	ACVR2B	93	HumanProteinAtlas
ENSG00000224478			Ensembl
ENSG00000237700	PRAMEF33	645382	Ensembl
ENSG00000237987			Ensembl
RET	RET	5979	PharmGKB
ENSG00000198233			RussLampel
ENSG00000165898	ISCA2	122961	Ensembl
ENSG00000198355	PIM3	415116	HingoraniCasas
ENSG00000280828			Ensembl
ENSG00000248479			Ensembl
5997	RGS2	5997	GuideToPharmacology
ENSG00000186579	DEFB106A	245909	HingoraniCasas
MT-ND4	MT-ND4	4538	HumanProteinAtlas
ENSG00000206877	RNU6-1103P	106480051	Ensembl
ENSG00000267463	UBE2V2P2	104548970	Ensembl
ENSG00000281613			Ensembl
ENSG00000274551			Ensembl
ENSG00000228124			Ensembl
ENSG00000255413			Ensembl
ENSG00000254332			Ensembl
ENSG00000237106	FABP5P15	100873958	Ensembl
ENSG00000258073			Ensembl
ENSG00000258196			Ensembl
IDUA	IDUA	3425	Pharos
BE0000184	HSD17B7	51478	DrugBank
ENSG00000232653	GOLGA8N	643699	Ensembl
ENSG00000275064			Ensembl
ENSG00000205981	DNAJC19	131118	Ensembl
ENSG00000279276			Ensembl
ENSG00000207473			Ensembl
MYRF	MYRF	745	Pharos
O95749	GGPS1	9453	TdgClinicalTrial
BE0000376	NDUFB6	4712	DrugBank
ENSG00000237303	HIGD1AP8	100874451	Ensembl
ENSG00000202095	RNU6-1172P	106481549	Ensembl
ENSG00000279600			Ensembl
Q16620	NTRK2	4915	HopkinsGroom
BE0000152	ALDH5A1	7915	DrugBank
ENSG00000010219	DYRK4	8798	HingoraniCasas
ENSG00000207472	RNU6-41P	106478912	Ensembl
Kruppel like factor 4	KLF4	9314	TTD
KDSR	KDSR	2531	FoundationOneGenes
ENSG00000201431	RNU6-1277P	106480123	Ensembl
GLUL	GLUL	2752	Pharos
ENSG00000254480			Ensembl
ENSG00000267670			Ensembl
ENSG00000207758	MIR532	693124	Ensembl
CYLD	CYLD	1540	Pharos
ENSG00000231681			Ensembl
ENSG00000213253	RPL12P42	100129394	Ensembl
ENSG00000225975	LINC01534	101927621	Ensembl
ENSG00000056487	PHF21B	112885	Ensembl
ENSG00000279124			Ensembl
ENSG00000225889			Ensembl
ENSG00000231966			Ensembl
Q96Q91	SLC4A9	83697	HopkinsGroom
ENSG00000185043	CIB1	10519	Ensembl
5321	PLA2G4A	5321	GuideToPharmacology
ENSG00000239719			Ensembl
ENSG00000011260	UTP18	51096	Ensembl
ENSG00000125505	MBOAT7	79143	Ensembl
ENSG00000256625			Ensembl
ENSG00000248956	HMGB1P44	100130279	Ensembl
Q15418	RPS6KA1	6195	HopkinsGroom
ENSG00000240940	RN7SL591P	106481084	Ensembl
ENSG00000166750	SLFN5	162394	Ensembl
Glycinamide ribonucleotide formyltransferase	GART	2618	TTD
ENSG00000244384	RN7SL359P	106479354	Ensembl
ENSG00000166796	LDHC	3948	Ensembl
ENSG00000206989	SNORD63	26785	Ensembl
CLDND1	CLDND1	56650	GO
ENSG00000243926	TIPARP-AS1	100287227	Ensembl
ENSG00000180611	MB21D2	151963	Ensembl
ENSG00000260217			Ensembl
ENSG00000282785			Ensembl
ENSG00000224815			Ensembl
ENSG00000116748	AMPD1	270	Ensembl
ENSG00000202023	SNORD81	26769	Ensembl
DPEP2	DPEP2	64174	dGene
ENSG00000231329			Ensembl
PSMD11	PSMD11	5717	MyCancerGenome
ENSG00000219797	PPIAP9	5491	Ensembl
ENSG00000101966	XIAP	331	HingoraniCasas
ENSG00000255037			Ensembl
ENSG00000215097	DUSP8P3	441554	Ensembl
ENSG00000235786	ZNRF3-IT1	100874339	Ensembl
ENSG00000185873	TMPRSS11B	132724	RussLampel
OR4Q2	OR4Q2	390432	GO
ENSG00000254646	OR8B10P	390274	Ensembl
ENSG00000207160	RNU6-1289P	106481587	Ensembl
ENSG00000230960			Ensembl
ENSG00000168282	MGAT2	4247	Ensembl
SIAE	SIAE	54414	Pharos
TMTC3	TMTC3	160418	HumanProteinAtlas
ENSG00000257325			Ensembl
ENSG00000283773			Ensembl
OR51E2	OR51E2	81285	Pharos
ENSG00000279859			Ensembl
ENSG00000160226	C21ORF2	755	Ensembl
ENSG00000253417	LINC02159	285629	Ensembl
ENSG00000233080	LINC01399	104310353	Ensembl
ENSG00000114331	ACAP2	23527	Ensembl
ENSG00000239396	RN7SL414P	106481036	Ensembl
ENSG00000106459	NRF1	4899	Ensembl
ENSG00000277311			Ensembl
ENSG00000264964			Ensembl
ENSG00000182565	OR4C2P	119750	Ensembl
EFNB2	EFNB2	1948	Pharos
MAP2K7	MAP2K7	5609	GO
PTK2	PTK2	5747	GO
CHEK1	CHEK1	1111	Oncomine
ENSG00000221563	MIR1269A	100302177	Ensembl
OR5AP2	OR5AP2	338675	Pharos
ENSG00000283647			Ensembl
ENSG00000223874	LINC01921	101928327	Ensembl
ENSG00000167757	KLK11	11012	RussLampel
HYPF	FGF23	8074	ChemblInteractions
ENSG00000257258			Ensembl
ADCK3	COQ8A	56997	dGene
ENSG00000223601	EBLN1	340900	Ensembl
ENSG00000265798			Ensembl
ENSG00000134389	CFHR5	81494	HingoraniCasas
TMPRSS3	TMPRSS3	64699	dGene
ENSG00000168778	TCTN2	79867	Ensembl
ENSG00000140873	ADAMTS18	170692	Ensembl
6752	SSTR2	6752	GuideToPharmacology
ENSG00000008438	PGLYRP1	8993	HingoraniCasas
ENSG00000279652			Ensembl
ENSG00000125648	SLC25A23	79085	Ensembl
ENSG00000249092	PPIAP77	402213	Ensembl
ENSG00000280068			Ensembl
ENSG00000232429	RPL21P131	388532	Ensembl
ENSG00000116128	BCL9	607	Ensembl
TRGV4	TRGV4	6977	GO
ENSG00000110711	AIP	9049	RussLampel
ENSG00000249053			Ensembl
ENSG00000243517			Ensembl
UBE2J2	UBE2J2	118424	Pharos
ENSG00000167695	FAM57A	79850	Ensembl
BE0001283	LPA	4018	DrugBank
ENSG00000288042			Ensembl
ENSG00000251516			Ensembl
ENSG00000166986	MARS	4141	HingoraniCasas
ELP2	ELP2	55250	FoundationOneGenes
ENSG00000187080	OR2AK2	391191	Ensembl
KLF4	KLF4	9314	CarisMolecularIntelligence
ENSG00000258670			Ensembl
NQO1	NQO1	1728	PharmGKB
ENSG00000016402	IL20RA	53832	HingoraniCasas
ENSG00000285529			Ensembl
ENSG00000133250	ZNF414	84330	Ensembl
ENSG00000229738			Ensembl
ENSG00000243335	KCTD7	154881	Ensembl
ENSG00000115318	LOXL3	84695	RussLampel
ENSG00000273387			Ensembl
ADGRL1	ADGRL1	22859	GO
ENSG00000102996	MMP15	4324	RussLampel
ENSG00000263905	RN7SL555P	106479424	Ensembl
PTPN12	PTPN12	5782	GO
PITX2	PITX2	5308	Pharos
GTF2A2	GTF2A2	2958	GO
ENSG00000143093	STRIP1	85369	Ensembl
Q02509	OC90	729330	HopkinsGroom
ENSG00000175718	RBMXL3	139804	Ensembl
ENSG00000228672	PROB1	389333	Ensembl
ENSG00000258012			Ensembl
ENSG00000187605	TET3	200424	Ensembl
ENSG00000273704			Ensembl
ENSG00000238288	MTND3P23	107075295	Ensembl
ENSG00000120658	ENOX1	55068	HingoraniCasas
ENSG00000249896	LINC02495	285484	Ensembl
RLN2	RLN2	6019	GO
ENSG00000081014	AP4E1	23431	Ensembl
ENSG00000269813			Ensembl
ENSG00000146963	LUC7L2	51631	Ensembl
ENSG00000016402	IL20RA	53832	Ensembl
11096	ADAMTS5	11096	GuideToPharmacology
TAF15	TAF15	8148	FoundationOneGenes
ENSG00000249725			Ensembl
ENSG00000258603			Ensembl
ENSG00000168765	GSTM4	2948	HingoraniCasas
ENSG00000243438	LARP1BP2	106479034	Ensembl
SH3GL1	SH3GL1	6455	FoundationOneGenes
ENSG00000233943			Ensembl
USP17L6P	USP17L6P	391622	Pharos
ENSG00000188822	CNR2	1269	Ensembl
ENSG00000143653	SCCPDH	51097	Ensembl
ENSG00000164871	SPAG11B	10407	Ensembl
5147	PDE6D	5147	GuideToPharmacology
ENSG00000230001			Ensembl
ENSG00000272391	POM121C	100101267	Ensembl
ENSG00000201441	RNU6-646P	106481386	Ensembl
CTSW	CTSW	1521	dGene
ENTPD4	ENTPD4	9583	Pharos
ENSG00000237693	IRGM	345611	Ensembl
ENSG00000278971			Ensembl
GUCA2A	GUCA2A	2980	GO
ENSG00000232172			Ensembl
PCTAIRE1	CDK16	5127	ChemblInteractions
10568	SLC34A2	10568	GuideToPharmacology
ENSG00000271862			Ensembl
ENSG00000238399	MIR2053	100302225	Ensembl
ENSG00000171843	MLLT3	4300	Ensembl
BE0003632	CA11	770	DrugBank
ENSG00000212695			Ensembl
ENSG00000164093	PITX2	5308	Ensembl
ENSG00000275803	RN7SL736P	107080652	Ensembl
ENSG00000207363			Ensembl
ENSG00000249834	PGBD4P3	100421136	Ensembl
ENSG00000253639	SUMO2P18	106481679	Ensembl
CAT	CAT	847	PharmGKB
57406	ABHD6	57406	GuideToPharmacology
COL4A3	COL4A3	1285	Pharos
ENSG00000222934	RN7SKP284	106479222	Ensembl
ENSG00000269583			Ensembl
OR7G1	OR7G1	125962	GO
ENSG00000229093	OR51AB1P	403265	Ensembl
ENSG00000279248			Ensembl
ENSG00000105852	PON3	5446	HingoraniCasas
ENSG00000280338			Ensembl
ENSG00000207807	MIR95	407052	Ensembl
ENSG00000129864	VCY	9084	Ensembl
CAMK2B	CAMK2B	816	NCI
KEAP1	KEAP1	9817	Pharos
Parathyroid hormone receptor	PTH2R	5746	TTD
STC2	STC2	8614	GO
ENSG00000100151	PICK1	9463	Ensembl
ENSG00000176566	DCAF4L2	138009	Ensembl
BE0001006	CD40LG	959	DrugBank
ENSG00000232451			Ensembl
BE0004001	DHFR2	200895	DrugBank
ENSG00000123453	SARDH	1757	Ensembl
P07237	P4HB	5034	HopkinsGroom
ENSG00000176749	CDK5R1	8851	HingoraniCasas
BE0009579	HDAC10	83933	DrugBank
ENSG00000259993			Ensembl
OR1S1	OR1S1	219959	GO
BE0003464	IL13	3596	DrugBank
ENSG00000283563	ZCWPW2	152098	Ensembl
53373	TPCN1	53373	GuideToPharmacology
ENSG00000279559			Ensembl
GCLC	GCLC	2729	NCI
ENSG00000271742			Ensembl
ENSG00000285714			Ensembl
ENSG00000186940	CHCHD2P9	645345	Ensembl
ENSG00000237623			Ensembl
ENSG00000107104	KANK1	23189	Ensembl
ENSG00000286263			Ensembl
PDGFRB	PDGFRB	5159	FoundationOneGenes
ENSG00000254756			Ensembl
170482	CLEC4C	170482	GuideToPharmacology
ENSG00000265699	MIR548AE2	100616339	Ensembl
ENSG00000207164			Ensembl
ENSG00000260398			Ensembl
Q07820	MCL1	4170	HopkinsGroom
ENSG00000201788			Ensembl
ENSG00000252192	SNORA9	677798	Ensembl
MST1R	MST1R	4486	Pharos
ENSG00000260715			Ensembl
ENSG00000286687			Ensembl
RALBP1	RALBP1	10928	NCI
ENSG00000236146			Ensembl
ENSG00000288534			Ensembl
GABBR2	GABBR2	9568	Pharos
ENSG00000167286	CD3D	915	HingoraniCasas
ENSG00000276417			Ensembl
ENSG00000252436			Ensembl
ENSG00000286595			Ensembl
BE0003696	MMP20	9313	DrugBank
ENSG00000196703	OR8G2P	26492	RussLampel
ENSG00000005379	TSPOAP1	9256	Ensembl
ENSG00000258420			Ensembl
ENSG00000136244	IL6	3569	Ensembl
ENSG00000240663	RN7SL310P	106479336	Ensembl
SLC17A4	SLC17A4	10050	Pharos
ENSG00000184774	MGAT4EP	641515	Ensembl
Q9P296	C5AR2	27202	HopkinsGroom
ENSG00000116017	ARID3A	1820	Ensembl
ENSG00000279665			Ensembl
P52895	AKR1C2	1646	HopkinsGroom
ENSG00000181195	PENK	5179	Ensembl
ENSG00000133433	GSTT2B	653689	Ensembl
3575	IL7R	3575	GuideToPharmacology
ENSG00000198087	CD2AP	23607	Ensembl
ENSG00000135424	ITGA7	3679	Ensembl
ENSG00000065154	OAT	4942	Ensembl
OR52L1	OR52L1	338751	Pharos
3428	IFI16	3428	GuideToPharmacology
UBE2L6	UBE2L6	9246	Pharos
ENSG00000214821	HMGB1P4	10355	Ensembl
ENSG00000250640	OR7E41P	8583	Ensembl
ENSG00000103811	CTSH	1512	HingoraniCasas
ENSG00000226792	C13ORF42	647166	Ensembl
ENSG00000230806	SRGAP2-AS1	100873165	Ensembl
ENSG00000221498	SNORA77	677843	Ensembl
ENSG00000234702	VDAC1P3	100310838	Ensembl
HDAC10	HDAC10	83933	GO
Q8N8N7	PTGR2	145482	HopkinsGroom
ENSG00000260228			Ensembl
ENSG00000251978	RNA5SP236	100873494	Ensembl
ENSG00000120334	CENPL	91687	Ensembl
ENSG00000267007			Ensembl
AURKB	AURKB	9212	Tempus
ENSG00000176761	ZNF285B	147711	Ensembl
ENSG00000245112	SMARCA5-AS1	100128055	Ensembl
ENSG00000232596	LINC01646	105376679	Ensembl
AGA	AGA	175	GO
TRBV24-1	TRBV24-1	28563	Pharos
NTSR2	NTSR2	23620	GO
ENSG00000236078	LINC01447	101929086	Ensembl
ENSG00000260366			Ensembl
ENSG00000202402			Ensembl
ENSG00000270757	HSPE1-MOB4	100529241	Ensembl
CLSTN2	CLSTN2	64084	GO
ENSG00000257750	LINC02445	105369840	Ensembl
ENSG00000258520			Ensembl
2674	GFRA1	2674	GuideToPharmacology
ATG13	ATG13	9776	Pharos
ENSG00000199143	MIR373	442918	Ensembl
MSH6	MSH6	2956	Oncomine
ENSG00000125434	SLC25A35	399512	RussLampel
ENSG00000242524	OR2U2P	26694	Ensembl
ENSG00000200752			Ensembl
CCR5	CCR5	1234	DTC
P22695	UQCRC2	7385	HopkinsGroom
ENSG00000200227	RNA5SP197	100873459	Ensembl
ENSG00000229550			Ensembl
CHI3L1	CHI3L1	1116	GO
ENSG00000102805	CLN5	1203	Ensembl
ENSG00000201846	RNA5SP166	100873431	Ensembl
Q8NH42	OR4K13	390433	HopkinsGroom
PPFIA4	PPFIA4	8497	GO
ENSG00000280067			Ensembl
ENSG00000254937			Ensembl
Transient receptor potential cation channel V3	TRPV3	162514	TTD
ENSG00000261130			Ensembl
ENSG00000256615			Ensembl
ENSG00000178093	TSSK6	83983	Ensembl
ENSG00000231849	UBE2V2P4	106480802	Ensembl
FOXP2	FOXP2	93986	Pharos
ENSG00000215846	MPTX1	649458	Ensembl
ME3	ME3	10873	Pharos
ENSG00000202513	RNU6-805P	106479922	Ensembl
ENSG00000233830	EIF4HP1	401316	Ensembl
ENSG00000196876	SCN8A	6334	Ensembl
ENSG00000207735	MIR520D	574482	Ensembl
ENSG00000168515	SCGB1D1	10648	HingoraniCasas
ENSG00000204923	FBXO48	554251	Ensembl
ENSG00000015532	XYLT2	64132	Ensembl
ENSG00000121904	CSMD2	114784	Ensembl
ENSG00000287330			Ensembl
ENSG00000186407	CD300E	342510	Ensembl
ENSG00000142871	CYR61	3491	HingoraniCasas
ENSG00000259165	DDX18P1	319099	Ensembl
ABCC6	ABCC6	368	NCI
ENSG00000282300			Ensembl
BE0004528	EEF1A1	1915	DrugBank
79603	CERS4	79603	GuideToPharmacology
ENSG00000233029			Ensembl
ENSG00000146856	AGBL3	340351	RussLampel
ENSG00000213781	PSMC1P2	442291	Ensembl
ENSG00000237659	RNASEH2CP1	386608	Ensembl
PADI3	PADI3	51702	Pharos
ENSG00000251339			Ensembl
ENSG00000105767	CADM4	199731	Ensembl
EZH2	EZH2	2146	MskImpact
ENSG00000243853	ALDH7A1P3	543	Ensembl
TRHR	TRHR	7201	ChemblInteractions
PCSK7	PCSK7	9159	dGene
ENSG00000252069			Ensembl
ENSG00000181935	OR4C16	219428	HingoraniCasas
ENSG00000134899	ERCC5	2073	Ensembl
ENSG00000173517	PEAK1	79834	HingoraniCasas
ENSG00000168427	KLHL30	377007	Ensembl
ENSG00000275818	MIR6818	102466742	Ensembl
DEFA5	DEFA5	1670	NCI
ENSG00000257252			Ensembl
ENSG00000201695	RNA5SP334	106865375	Ensembl
P15328	FOLR1	2348	TdgClinicalTrial
GRM1	GRM1	2911	HumanProteinAtlas
ESRRB	ESRRB	2103	Pharos
BE0000029	FLT1	2321	DrugBank
ETS1	ETS1	2113	Tempus
OR2M5	OR2M5	127059	dGene
Q8NH64	OR51A7	119687	HopkinsGroom
O43497	CACNA1G	8913	HopkinsGroom
PHKG2	PHKG2	5261	GO
OR5B17	OR5B17	219965	dGene
APEX1	APEX1	328	GO
CLDN18	CLDN18	51208	ChemblInteractions
TTR	TTR	7276	DTC
ENSG00000237581			Ensembl
ENSG00000280377			Ensembl
PROKR1	PROKR1	10887	dGene
ENSG00000226334			Ensembl
ENSG00000089006	SNX5	27131	Ensembl
ENSG00000268191			Ensembl
ENSG00000179165	PXT1	222659	Ensembl
ENSG00000141562	NARF	26502	Ensembl
ENSG00000136982	DSCC1	79075	Ensembl
ENSG00000260097	SPDYE6	729597	Ensembl
ENSG00000185821	OR6C76	390326	RussLampel
ENSG00000101200	AVP	551	Ensembl
RAD1	RAD1	5810	GO
ENSG00000225499	RPL15P4	100129921	Ensembl
ENSG00000140650	PMM2	5373	Ensembl
ENSG00000211598	IGKV4-1	28908	HingoraniCasas
ENSG00000206781			Ensembl
ENSG00000176919	C8G	733	HingoraniCasas
ENSG00000222428	RNA5SP231	100873489	Ensembl
CALR	CALR	811	CarisMolecularIntelligence
ENSG00000270648	CYP2C61P	106480734	Ensembl
ENSG00000263788			Ensembl
ENSG00000199525	RNA5SP295	100873548	Ensembl
ENSG00000249735			Ensembl
ENSG00000169515	CCDC8	83987	Ensembl
ENSG00000197963			RussLampel
G2E3	G2E3	55632	Pharos
O75747	PIK3C2G	5288	HopkinsGroom
55652	SLC48A1	55652	GuideToPharmacology
ENSG00000236782			Ensembl
ENSG00000253638			Ensembl
ENSG00000187097	ENTPD5	957	Ensembl
ENSG00000258274			Ensembl
P30273	FCER1G	2207	TEND
ENSG00000201569	SNORD114-17	767595	Ensembl
ENSG00000103472	RRN3P2	653390	Ensembl
CALR	CALR	811	NCI
ENSG00000272840			Ensembl
DPM2	DPM2	8818	Pharos
CARD11	CARD11	84433	FoundationOneGenes
ENSG00000250579			Ensembl
Q9NZV8	KCND2	3751	HopkinsGroom
DDX54	DDX54	79039	Pharos
ENSG00000207129	RNA5SP187	100873449	Ensembl
ENSG00000200427			Ensembl
ENSG00000170190	SLC16A5	9121	Ensembl
SLC9A3	SLC9A3	6550	GO
FGFR3	FGFR3	2261	CancerCommons
CDK14	CDK14	5218	dGene
ENSG00000196502	SULT1A1	6817	HingoraniCasas
BAX	BAX	581	DTC
ABCC2	ABCC2	1244	DTC
92335	STRADA	92335	GuideToPharmacology
ENSG00000251080			Ensembl
ENSG00000197892	KIF13B	23303	Ensembl
ENSG00000223162	RNA5SP280	100873533	Ensembl
ENSG00000143545	RAB13	5872	Ensembl
ENSG00000180068	OR3A4P	390756	RussLampel
SQLE	SQLE	6713	DTC
TBK1	TBK1	29110	HumanProteinAtlas
10257	ABCC4	10257	GuideToPharmacology
ENSG00000260755			Ensembl
CDK9	CDK9	1025	dGene
SALL2	SALL2	6297	Pharos
ENSG00000237552	LINC02567	110806286	Ensembl
ENSG00000224160	CICP10	100462787	Ensembl
ENSG00000238008	COX6CP10	106481681	Ensembl
BE0008696	PEF1	553115	DrugBank
GK5	GK5	256356	Pharos
ENSG00000238606	RNU7-7P	100147755	Ensembl
Q8N539	FIBCD1	84929	HopkinsGroom
ENSG00000232594			Ensembl
ENSG00000149575	SCN2B	6327	Ensembl
ENSG00000223746	ELOCP30	106481670	Ensembl
ENSG00000135828	RNASEL	6041	RussLampel
MRGPRF	MRGPRF	116535	IDG
KEL	KEL	3792	FoundationOneGenes
ENSG00000278038	MIR6076	102464828	Ensembl
ENSG00000166862	CACNG2	10369	Ensembl
ENSG00000213400	RPL12P18	729760	Ensembl
ENSG00000227782			Ensembl
ENSG00000251753	RNU6-75P	100873776	Ensembl
ENSG00000151468	CCDC3	83643	HingoraniCasas
ENSG00000139200	PIANP	196500	Ensembl
ENSG00000255624			Ensembl
Ubiquitin-protein ligase E3 Mdm2	MDM2	4193	TTD
ENSG00000279500			Ensembl
ENSG00000284674			Ensembl
ENSG00000198886	MT-ND4	4538	HingoraniCasas
ENSG00000255382			Ensembl
ENSG00000267683			Ensembl
ENSG00000274742			Ensembl
ENSG00000231548	OR55B1P	390030	Ensembl
Q8NFQ6	BPIFC	254240	HopkinsGroom
LOC440434			dGene
ENSG00000201433	RNU6-335P	106479715	Ensembl
SOCS1	SOCS1	8651	FoundationOneGenes
ENSG00000115526	CHST10	9486	Ensembl
UGT1A1	UGT1A1	54658	Pharos
ENSG00000230163			Ensembl
ENSG00000214535	RPS15AP1	92682	Ensembl
Notch-1 receptor	NOTCH1	4851	TTD
ENSG00000206960	RNU6-793P	106479917	Ensembl
ENSG00000286222			Ensembl
Voltage-gated calcium channel alpha Cav3.1	CACNA1G	8913	TTD
ENSG00000134716	CYP2J2	1573	HingoraniCasas
ENSG00000183709	IFNL2	282616	Ensembl
ENSG00000269228	RPS27AP19	107985274	Ensembl
BLK	BLK	640	HumanProteinAtlas
ENSG00000163623	NKX6-1	4825	Ensembl
PI3-kinase alpha	PIK3CA	5290	TTD
ENSG00000182674	KCNB2	9312	HingoraniCasas
MUC17	MUC17	140453	GO
CEMIP2	TMEM2	23670	Pharos
FLT1	FLT1	2321	CarisMolecularIntelligence
OR5AN1	OR5AN1	390195	Pharos
PSMB3	PSMB3	5691	MyCancerGenome
ENSG00000168061	SAC3D1	29901	Ensembl
ENSG00000267772	LINC01999	388406	Ensembl
ENSG00000288579			Ensembl
JAK2	JAK2	3717	TALC
ENSG00000212348	RNU6-1300P	106480134	Ensembl
ENSG00000157538	DSCR3	10311	Ensembl
ENSG00000232096	YPEL5P1	100130996	Ensembl
ENSG00000206636			Ensembl
ENSG00000239263	RBM43P1	100131568	Ensembl
ENSG00000244230	RN7SL151P	107075319	Ensembl
ENSG00000286462			Ensembl
ENSG00000276457	FKBP4P8	643880	Ensembl
ENSG00000257797			Ensembl
Plasmodium Beta-hydroxyacyl-ACP dehydratase			TTD
OOR	OPRL1	4987	ChemblInteractions
ENSG00000142303	ADAMTS10	81794	Ensembl
ENSG00000240173	RN7SL771P	106481132	Ensembl
ENSG00000265452	MIR3682	100500850	Ensembl
ENSG00000176281	OR4K5	79317	HingoraniCasas
ENSG00000200849			Ensembl
ENSG00000252540	RNU6-919P	106479972	Ensembl
ENSG00000186063	AIDA	64853	Ensembl
ENSG00000185737	NRG3	10718	HingoraniCasas
ENSG00000256837	CACNA1C-IT1	107984540	Ensembl
ENSG00000284713			Ensembl
ENSG00000102316	MAGED2	10916	Ensembl
BCR	BCR	613	CarisMolecularIntelligence
ENSG00000203724	C1ORF53	388722	Ensembl
ENSG00000235976			Ensembl
5607	MAP2K5	5607	GuideToPharmacology
ENSG00000260550			Ensembl
ENSG00000168175	MAPK1IP1L	93487	Ensembl
ENSG00000198178	CLEC4C	170482	Ensembl
CSK	CSK	1445	GO
ENSG00000237423	LINC01522	101927457	Ensembl
55315	SLC29A3	55315	GuideToPharmacology
ENSG00000274183	H2AFB1	474382	Ensembl
BE0000783	NNMT	4837	DrugBank
ENSG00000287961			Ensembl
ENSG00000243053	RPL31P58	100271485	Ensembl
ENSG00000283359	MIR3977	100616297	Ensembl
BE0003830	RPL26L1	51121	DrugBank
ENSG00000266693	OR4K8P	390836	Ensembl
ENSG00000286152			Ensembl
ENGASE	ENGASE	64772	Pharos
RAD51D	RAD51D	5892	Tempus
81579	PLA2G12A	81579	GuideToPharmacology
Q8IZL9	CDK20	23552	HopkinsGroom
OR8J2	OR8J2	81169	Pharos
ENSG00000275789	MIR8064	102465866	Ensembl
KIT	KIT	3815	MyCancerGenomeClinicalTrial
ENSG00000232385	RPS3AP25	645968	Ensembl
ENSG00000126467	TSKS	60385	Ensembl
ENSG00000199448	RNU6-845P	106479940	Ensembl
ENSG00000273573			Ensembl
ADGRG7	ADGRG7	84873	GO
ENSG00000160401	CFAP157	286207	Ensembl
BE0003811	PPP2R2A	5520	DrugBank
ENSG00000112851	ERBIN	55914	Ensembl
ENSG00000218357	LINC01644	101927722	Ensembl
ENSG00000235115	CHCHD2P8	646630	Ensembl
ENSG00000249599	BMPR1B-AS1	100507012	Ensembl
160364	CLEC12A	160364	GuideToPharmacology
ENSG00000078098	FAP	2191	RussLampel
ENSG00000156017	CARNMT1	138199	Ensembl
SOCS1	SOCS1	8651	Tempus
ENSG00000116688	MFN2	9927	Ensembl
ENSG00000250026	TMPRSS11BNL	401136	Ensembl
FOXL2	FOXL2	668	MskImpact
ENSG00000161643	SIGLEC16	400709	Ensembl
ENSG00000213619	NDUFS3	4722	Ensembl
ENSG00000164219	PGGT1B	5229	Ensembl
ENSG00000182541	LIMK2	3985	HingoraniCasas
ENSG00000182013	PNMA8A	55228	Ensembl
ENSG00000254675			Ensembl
ENSG00000106665	CLIP2	7461	Ensembl
ENSG00000165807	PPP1R36	145376	Ensembl
ENSG00000233200			Ensembl
ENSG00000139496	NUP58	9818	Ensembl
ENSG00000287647			Ensembl
ENSG00000144119	C1QL2	165257	HingoraniCasas
GABRP	GABRP	2568	ChemblInteractions
ENSG00000279757			Ensembl
ENSG00000178722	C5ORF64	285668	Ensembl
TAS2R1	TAS2R1	50834	GO
682	BSG	682	GuideToPharmacology
ENSG00000259990			Ensembl
DGKK	DGKK	139189	Pharos
ENSG00000163406	SLC15A2	6565	RussLampel
